lemma,global_position,role,deprel,partner_lemma
and,417,dependent,cc,look
look,418,dependent,conj,skip
look,418,head,cc,and
look,418,head,advmod,gravely
look,418,head,obl,watcher
look,418,head,advcl,gather
gravely,419,dependent,advmod,look
at,420,dependent,case,watcher
his,421,dependent,nmod:poss,watcher
watcher,422,dependent,obl,look
watcher,422,head,case,at
watcher,422,head,nmod:poss,his
",",423,dependent,punct,gather
gather,424,dependent,advcl,look
gather,424,head,punct,","
gather,424,head,obl,leg
gather,424,head,obj,fold
about,425,dependent,case,leg
his,426,dependent,nmod:poss,leg
leg,427,dependent,obl,gather
leg,427,head,case,about
leg,427,head,nmod:poss,his
the,428,dependent,det,fold
loose,429,dependent,amod,fold
fold,430,dependent,obj,gather
fold,430,head,det,the
fold,430,head,amod,loose
fold,430,head,nmod,gown
of,431,dependent,case,gown
his,432,dependent,nmod:poss,gown
gown,433,dependent,nmod,fold
gown,433,head,case,of
gown,433,head,nmod:poss,his
.,434,dependent,punct,skip
the,435,dependent,det,face
plump,436,dependent,amod,face
shadow,437,dependent,amod,face
face,438,dependent,nsubj,recall
face,438,head,det,the
face,438,head,amod,plump
face,438,head,amod,shadow
face,438,head,conj,jowl
and,439,dependent,cc,jowl
sullen,440,dependent,amod,jowl
oval,441,dependent,compound,jowl
jowl,442,dependent,conj,face
jowl,442,head,cc,and
jowl,442,head,amod,sullen
jowl,442,head,compound,oval
recall,443,head,nsubj,face
recall,443,head,obj,prelate
recall,443,head,obl,age
recall,443,head,punct,.
a,444,dependent,det,prelate
prelate,445,dependent,obj,recall
prelate,445,head,det,a
prelate,445,head,conj,patron
",",446,dependent,punct,patron
patron,447,dependent,conj,prelate
patron,447,head,punct,","
patron,447,head,nmod,art
of,448,dependent,case,art
art,449,dependent,nmod,patron
art,449,head,case,of
in,450,dependent,case,age
the,451,dependent,det,age
middle,452,dependent,amod,age
age,453,dependent,obl,recall
age,453,head,case,in
age,453,head,det,the
age,453,head,amod,middle
.,454,dependent,punct,recall
a,455,dependent,det,smile
pleasant,456,dependent,amod,smile
smile,457,dependent,nsubj,break
smile,457,head,det,a
smile,457,head,amod,pleasant
break,458,head,nsubj,smile
break,458,head,advmod,quietly
break,458,head,obl,lip
break,458,head,punct,.
quietly,459,dependent,advmod,break
over,460,dependent,case,lip
his,461,dependent,nmod:poss,lip
lip,462,dependent,obl,break
lip,462,head,case,over
lip,462,head,nmod:poss,his
.,463,dependent,punct,break
—,464,dependent,punct,mockery
the,465,dependent,det,mockery
mockery,466,head,punct,—
mockery,466,head,det,the
mockery,466,head,nmod,it
mockery,466,head,punct,!
of,467,dependent,case,it
it,468,dependent,nmod,mockery
it,468,head,case,of
!,469,dependent,punct,mockery
he,470,dependent,nsubj,say
say,471,head,nsubj,he
say,471,head,advmod,gaily
say,471,head,punct,.
gaily,472,dependent,advmod,say
.,473,dependent,punct,say
your,474,dependent,nmod:poss,name
absurd,475,dependent,amod,name
name,476,head,nmod:poss,your
name,476,head,amod,absurd
name,476,head,appos,greek
name,476,head,punct,!
",",477,dependent,punct,greek
a,478,dependent,det,greek
ancient,479,dependent,amod,greek
greek,480,dependent,appos,name
greek,480,head,punct,","
greek,480,head,det,a
greek,480,head,amod,ancient
!,481,dependent,punct,name
he,482,dependent,nsubj,point
point,483,head,nsubj,he
point,483,head,obj,finger
point,483,head,obl,jest
point,483,head,conj,go
point,483,head,punct,.
his,484,dependent,nmod:poss,finger
finger,485,dependent,obj,point
finger,485,head,nmod:poss,his
in,486,dependent,case,jest
friendly,487,dependent,amod,jest
jest,488,dependent,obl,point
jest,488,head,case,in
jest,488,head,amod,friendly
and,489,dependent,cc,go
go,490,dependent,conj,point
go,490,head,cc,and
go,490,head,compound:prt,over
go,490,head,obl,parapet
go,490,head,advcl,laugh
over,491,dependent,compound:prt,go
to,492,dependent,case,parapet
the,493,dependent,det,parapet
parapet,494,dependent,obl,go
parapet,494,head,case,to
parapet,494,head,det,the
",",495,dependent,punct,laugh
laugh,496,dependent,advcl,go
laugh,496,head,punct,","
laugh,496,head,obl,himself
to,497,dependent,case,himself
himself,498,dependent,obl,laugh
himself,498,head,case,to
.,499,dependent,punct,point
stephen,500,dependent,nsubj,step
stephen,500,head,flat,dedalus
dedalus,501,dependent,flat,stephen
step,502,head,nsubj,stephen
